VARIABLE,CATEGORY,SOURCE,DESCRIPTION
GEOID,BG Identification,Census 2020 TigerLine Shapefiles,FIPS code of 2020 Block Group
CSA_FIPS,BG Identification,Census 2020 TigerLine Shapefiles,FIPS code of 2020 Combined Statistical Area
CBSA_FIPS,BG Identification,Census 2020 TigerLine Shapefiles,FIPS code of 2020 Core-Based Statistical Area
CBSA_NAME,BG Identification,Census 2020 TigerLine Shapefiles,Name of 2020 Core-Based Statistical Area
CBSA_POP,BG Identification,2020 Decennial Census,Population of 2020 Core-Based Statistical Area
CBSA_RANK,BG Identification,Brookings Analysis of 2020 Decennial Census,Population rank of 2020 Core-Based Statistical Area
CBSA_EPSG,BG Identification,Brookings Analysis of Census 2020 TigerLine Shapefiles,EPSG code for coordinate reference system used in analyzing data
CNTY_FIPS,BG Identification,Census 2020 TigerLine Shapefiles,FIPS code of 2020 county equivalent
CNTY_NAME,BG Identification,Census 2020 TigerLine Shapefiles,Name of 2020 county equivalent
AREA_MI,BG Area,Census 2020 TigerLine Shapefiles,Land area of the block group in square miles
DAREA_MI,BG Area,Brookings Analysis of 2019 National Land Cover Database,Developed land area of the block group in square miles
DIST_CORE,BG Area,Brookings Analysis of Census 2020 TigerLine Shapefiles,Distance from metro area core
TYPE,Center Identification,Brookings Analysis of Various Data,"Center Type (primary center, secondary center, monocenter, non-center"
SUBTYPE,Center Identification,Brookings Analysis of Various Data,Center Subtype (same as center type except for monocenters)
FLAG_AC,Center Identification,Brookings Analysis of Various Data,Binary flag for whether block group is an activity center
FLAG_PC,Center Identification,Brookings Analysis of Various Data,Binary flag for whether block group is a primary center
FLAG_SC,Center Identification,Brookings Analysis of Various Data,Binary flag for whether block group is a secondary center
FLAG_MC,Center Identification,Brookings Analysis of Various Data,Binary flag for whether block group is a monocenter
POP_TOTAL,Population,2020 Decennial Census,Population of block group from 2020 Census
POP_2010,Population,2010 Decennial Census,Population of block group from 2010 Census
POP_WHITE,Population,2020 Decennial Census,Non-Hispanic white population of block group from 2020 Census
POP_BLACK,Population,2020 Decennial Census,Non-Hispanic Black population of block group from 2020 Census
POP_LATIN,Population,2020 Decennial Census,Latino/Hispanic population of block group from 2020 Census
POP_ASIAN,Population,2020 Decennial Census,Non-Hispanic Asian population of block group from 2020 Census
INCOME,Population,2019 American Community Survey 5-year estimates,Total income of residents of block group from 2019 ACS 5-year estimates
JOB_TOTAL,Employment,2018 LEHD data (2016 for Alaska),Total private-sector jobs in block group
JOB_TRADE,Employment,Brookings Analysis of 2018 LEHD data (2016 for Alaska),Tradable private-sector jobs in block group
JOB_RETAIL,Employment,2018 LEHD data (2016 for Alaska),Retail (NAICS 44-45 or 81) private-sector jobs in block group
JOB_OFFICE,Employment,2018 LEHD data (2016 for Alaska),Office (NAICS 51-56) private-sector jobs in block group
JOB_INDUST,Employment,2018 LEHD data (2016 for Alaska),Industrial (NAICS 11-42 or 48-49) private-sector jobs in block group
JOB_HOSP,Employment,2018 LEHD data (2016 for Alaska),Hospitality (NAICS 71-72) private-sector jobs in block group
JOB_EDMEDS,Employment,2018 LEHD data (2016 for Alaska),Eds-Meds (NAICS 61-62) private-sector jobs in block group
JOB_INC_1,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs paying $1250/month or less
JOB_INC_2,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs paying $1251-$3333/month
JOB_INC_3,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs paying $3334/month or more
JOB_ED_NHS,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs for employees without high-school diplomas
JOB_ED_HS,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs for employees with high-school diplomas but no college
JOB_ED_AS,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs for employees with some college but no bachelor's degrees
JOB_ED_BS,Employment,2018 LEHD data (2016 for Alaska),Private-sector jobs for employees with bachelor's degrees
JOB_YOUNG,Employment,2017 LEHD data (2016 for Alaska),Private-sector jobs at firms less than five years old in the block group
JOB_OLD,Employment,2017 LEHD data (2016 for Alaska),Private-sector jobs at firms at least five years old in the block group
JOB_2011,Employment,2011 LEHD data,2011 private-sector jobs in block group
LIB_CNT,Community,2019 IMLS Public Library Survey,Count of public libraries in block group
LIB_SQFT,Community,2019 IMLS Public Library Survey,Square feet of public library space in block group
RELIG_CNT,Community,2020 SafeGraph Points of Interest Data,Count of places of worship in block group
HIST_CNT,Community,2020 National Register of Historic Places Historic Site Data,Count of historic sites in block group
PARK_CNT,Community,2020 ESRI park polygon data,"Count of local, county, and regional parks intersecting block group"
MUSE_CNT,Tourism,2020 SafeGraph Points of Interest Data,Count of museums in block group
STAD_CNT,Tourism,2020 DHS Homeland Infrastructure Founation-Level Data,Count of stadiums in block group
STAD_SEAT,Tourism,2020 DHS Homeland Infrastructure Founation-Level Data,Number of stadium seats in block group
LODGE_CNT,Tourism,2020 SafeGraph Points of Interest Data,Count of motels/hotels in block group
CASINO_CNT,Tourism,2020 SafeGraph Points of Interest Data,Count of casinos in block group
RESTA_CNT,Consumption,2020 SafeGraph Points of Interest Data,Count of restaurants in block group
RETAIL_CNT,Consumption,2020 SafeGraph Points of Interest Data,Count of retail establishments in block group
MEDIC_CNT,Consumption,2020 SafeGraph Points of Interest Data,Count of medical offices in block group
AMUSE_CNT,Consumption,2020 SafeGraph Points of Interest Data,Count of amusement facilities in block group
COLLEG_CNT,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Count of four-year non-profit colleges in block group
COLLEG_STU,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Number of students at four-year non-profit colleges in block group
COLLEG_EMP,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Number of staff at four-year non-profit colleges in block group
HOSP_CNT,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Count of hospitals in block group
HOSP_BED,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Number of hospital beds in block group
GOVBLD_CNT,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Count of state office buildings and courthouses in block group
GSA_CNT,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Count of GSA offices in block group
GSA_SQFT,Institutional,2020 DHS Homeland Infrastructure Founation-Level Data,Square feet of GSA office space in block group
SHIP_CNT,Institutional,2020 SafeGraph Points of Interest Data,Count of post offices in block group
TRANS_BIN,Institutional,2020 DOT BTS Intermodal Passenger Connectivity Database,Binary flag for presence of intercity rail or air stations in block group
CLUST_BG_1,Clustering,Brookings Analysis of Various Data,"Number of block groups, including this one, within 1 mile of this block group"
CLUST_BG_3,Clustering,Brookings Analysis of Various Data,"Number of block groups, including this one, within 3 miles of this block group"
