"CBSA_FIPS","CBSA_NAME","CBSA_POP","CBSA_RANK","CENTER_TYPE","BG_TOTAL","POP_TOTAL","POP_WHITE","POP_BLACK","POP_LATIN","POP_ASIAN","HOUSING_OCCUPIED","HOUSING_OWNED","HOUSING_RENTED","HOUSING_UNITS","HOUSING_DET_SFH","HOUSING_MISS_MID","HOUSING_LARGE","HOUSING_MOBILE","HOUSEHOLDS_TOTAL","HOUSEHOLDS_0_CAR","HOUSEHOLDS_1_CAR","HOUSEHOLDS_2_CAR","PER_CAPITA_INCOME_CBSA","PER_CAPITA_INCOME_INSIDE","PER_CAPITA_INCOME_OUTSIDE","COMMUTERS_TOTAL","COMMUTERS_DRIVERS"
"35620","New York-Newark-Jersey City, NY-NJ-PA",20140470,1,"total",14077,19294236,8847924,3047412,4752947,2149442,6997001,3588835,3408166,7717242,2764988,2349465,2569885,32904,6997001,2148125,2251173,2597703,43408.8139742874,1,1,8905221,4587095
"31080","Los Angeles-Long Beach-Anaheim, CA",13200998,2,"total",8217,13249614,3927625,841521,5967160,2097717,4354287,2114788,2239499,4643249,2278802,1104822,1169093,90532,4354287,337964,1390456,2625867,35915.5960543454,1,1,6005033,4783853
"16980","Chicago-Naperville-Elgin, IL-IN-WI",9618502,3,"total",6573,9508605,5029770,1546992,2103096,624927,3514621,2266961,1247660,3843918,2014899,1114162,676657,38200,3514621,425894,1239634,1849093,38157.493375737,1,1,4422700,3265642
"19100","Dallas-Fort Worth-Arlington, TX",7637387,4,"total",4123,7320663,3369747,1137943,2117162,501064,2553470,1519504,1033966,2764978,1750515,371087,548221,95155,2553470,119468,811947,1622055,35277.8341387932,1,1,3421806,2928513
"26420","Houston-The Woodlands-Sugar Land, TX",7122240,5,"total",3016,6884138,2488392,1161449,2566787,527458,2352275,1421765,930510,2596734,1627156,302246,541415,125917,2352275,120628,766718,1464929,34399.7396042903,1,1,3096366,2619911
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162,6,"total",3565,6196585,2819732,1535282,976666,619508,2216997,1409325,807672,2361267,1092126,654352,598581,16208,2216997,216402,730282,1270313,49880.5762044739,1,1,3111430,2175181
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,7,"total",4292,6079130,3755262,1234949,571930,359157,2280112,1534074,746038,2488203,1100804,1038516,318789,30094,2280112,292831,790890,1196391,39091.3343356697,1,1,2793001,2136151
"33100","Miami-Fort Lauderdale-Pompano Beach, FL",6138333,8,"total",3392,6090660,1854253,1224002,2751154,147366,2127517,1262225,865292,2534103,1058518,557390,861713,56482,2127517,173777,845837,1107903,32522.2732840119,1,1,2743364,2266104
"12060","Atlanta-Sandy Springs-Alpharetta, GA",6089815,9,"total",2593,5862424,2759231,1971590,626608,341759,2104360,1331251,773109,2299958,1537448,329226,365019,68265,2104360,121391,684175,1298794,35295.9874277261,1,1,2646896,2209681
"14460","Boston-Cambridge-Newton, MA-NH",4941632,10,"total",3403,4832346,3399393,365430,538595,381830,1831217,1130182,701035,1958456,933356,637937,363464,23699,1831217,237922,636052,957243,47604.4694233401,1,1,2442362,1711657
