"CBSA_FIPS","CBSA_NAME","CBSA_POP","CBSA_RANK","CENTER_TYPE","BG_TOTAL","POP_TOTAL","POP_WHITE","POP_BLACK","POP_LATIN","POP_ASIAN","HOUSING_OCCUPIED","HOUSING_OWNED","HOUSING_RENTED","HOUSING_UNITS","HOUSING_DET_SFH","HOUSING_MISS_MID","HOUSING_LARGE","HOUSING_MOBILE","HOUSEHOLDS_TOTAL","HOUSEHOLDS_0_CAR","HOUSEHOLDS_1_CAR","HOUSEHOLDS_2_CAR","PER_CAPITA_INCOME_CBSA","PER_CAPITA_INCOME_INSIDE","PER_CAPITA_INCOME_OUTSIDE","COMMUTERS_TOTAL","COMMUTERS_DRIVERS"
"35620","New York-Newark-Jersey City, NY-NJ-PA",20140470,1,"secondary-3mi",0.698089081480429,0.682419350525204,0.541816588840501,0.843069135384385,0.798521632999484,0.762558840852649,0.694420938342013,0.537768663089833,0.859377448164203,0.69126016781643,0.402499034353856,0.796420887308387,0.909637590787136,0.391745684415269,0.694420938342013,0.935743031713704,0.722206600736594,0.470784766387843,43408.8139742874,0.952871576983393,1.10125266186562,0.67688685098326,0.510198284535201
"31080","Los Angeles-Long Beach-Anaheim, CA",13200998,2,"secondary-3mi",0.902640866496288,0.892466754125818,0.853332993857611,0.883822269438315,0.911268844810597,0.917254329349478,0.892658660304201,0.856897239817892,0.926428634261502,0.89181217720609,0.861432893248295,0.899981173437893,0.951068050189335,0.791598550788671,0.892658660304201,0.93389828502444,0.913319802999879,0.876410343707431,35915.5960543454,0.979159100953129,1.17292740032526,0.898690481800849,0.893426282120291
"16980","Chicago-Naperville-Elgin, IL-IN-WI",9618502,3,"secondary-3mi",0.711851513768447,0.654560895105013,0.586757644981779,0.746068499384612,0.730994685929696,0.709169230966177,0.669226923756502,0.61171541989474,0.773723610599041,0.674496698420726,0.565458616039811,0.768061556577948,0.853529927274823,0.525549738219895,0.669226923756502,0.86557688063227,0.736459309764011,0.578929778004676,38157.493375737,1.02752544406196,0.947819424384819,0.651977977253714,0.596208035050995
"19100","Dallas-Fort Worth-Arlington, TX",7637387,4,"secondary-3mi",0.650254668930391,0.581536945492505,0.541756102164346,0.542480598764613,0.641623550772213,0.679120830871905,0.609149118650307,0.519589287030505,0.740765170228035,0.613732912160603,0.526836959409088,0.761824046652133,0.857537379998212,0.23014029740949,0.609149118650307,0.707176817223022,0.693236134870872,0.559837983298963,35277.8341387932,1.03758334758685,0.947762207563267,0.599797007778933,0.591361213011518
"26420","Houston-The Woodlands-Sugar Land, TX",7122240,5,"secondary-3mi",0.598474801061008,0.510426722997128,0.461671633729734,0.49044426401848,0.550613666034618,0.585809675841489,0.540596231307989,0.453092459021006,0.674296890952274,0.544556354251148,0.454627583341732,0.740760837198838,0.774764275093967,0.245852426598474,0.540596231307989,0.677197665550287,0.626067211151949,0.484613930094906,34399.7396042903,1.03403707022067,0.964482566425301,0.526638969682525,0.516747706315214
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162,6,"secondary-3mi",0.530715287517532,0.489883702071383,0.475899837289501,0.46270847961482,0.561995605457751,0.515286323986131,0.521954698179565,0.438578042680006,0.667440495646748,0.525307811441908,0.365846065380734,0.581453101694501,0.763769648552159,0.196754689042448,0.521954698179565,0.788412306725446,0.626248490309223,0.416605986083745,49880.5762044739,1.08548630020304,0.917863503692578,0.506244717059359,0.444227399926719
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,7,"secondary-3mi",0.666821994408201,0.603136633037951,0.524158900231196,0.766965275489109,0.721534103823894,0.671427815690631,0.610370455486397,0.558946960837613,0.716112315994628,0.618227692836959,0.443851948212397,0.783421728697488,0.716041017726459,0.259852462284841,0.610370455486397,0.843988512145231,0.672034037603207,0.512426121560594,39091.3343356697,0.950886911172482,1.07462449140948,0.58853147564215,0.535166287401967
"33100","Miami-Fort Lauderdale-Pompano Beach, FL",6138333,8,"secondary-3mi",0.777122641509434,0.760367513537121,0.651510877965413,0.82882626008781,0.80771160029573,0.698003610059308,0.762814116173925,0.71017449345402,0.839600967072387,0.765388778593451,0.707666756729692,0.735807962109116,0.857265702153733,0.73734995219716,0.762814116173925,0.861454622878747,0.784528224705233,0.730764335866949,32522.2732840119,0.957300209628393,1.13542774800961,0.769857372189764,0.7617827778425
"12060","Atlanta-Sandy Springs-Alpharetta, GA",6089815,9,"secondary-3mi",0.494793675279599,0.420808013886406,0.370030635347312,0.432062954265339,0.542280021959503,0.530891651719486,0.454124769526127,0.362224704432147,0.612371606073658,0.462692362208353,0.343158272670035,0.689061617247727,0.810113994066062,0.205390756610269,0.454124769526127,0.644215798535312,0.568104651587679,0.376316028561881,35295.9874277261,1.11437190131958,0.916903907434703,0.439361425609469,0.420832690329509
"14460","Boston-Cambridge-Newton, MA-NH",4941632,10,"secondary-3mi",0.661181310608287,0.615894433055911,0.541865562469535,0.844635087431245,0.776938144617013,0.796425110651337,0.622482207187897,0.531387864963342,0.769341045739514,0.620297826451041,0.462346628724731,0.770190473353952,0.789057513261286,0.217941685303177,0.622482207187897,0.851165508023638,0.696039003100375,0.516767424781377,47604.4694233401,0.987009469169956,1.02082686540746,0.624450838982919,0.546683126350665
"38060","Phoenix-Mesa-Chandler, AZ",4845832,11,"secondary-3mi",0.593553167839941,0.557348859197207,0.518337143143177,0.567403143178946,0.616999451792746,0.599358207331665,0.573567553011818,0.498292809683206,0.703988368602974,0.567401540347035,0.491139674214114,0.746669972688853,0.808180744240992,0.430213954072029,0.573567553011818,0.72250262559522,0.60804591576781,0.538067544948705,32522.492362341,0.997858907222727,1.00268627506321,0.59581138706918,0.585528024580382
"41860","San Francisco-Oakland-Berkeley, CA",4749008,12,"secondary-3mi",0.742906574394464,0.711986730569124,0.71653492126164,0.728452326269113,0.705541999949288,0.705142136476043,0.736524049258047,0.673754500382371,0.812200304826331,0.739412223471735,0.642127786535567,0.806741605490012,0.882147090503991,0.582425978987584,0.736524049258047,0.890294046172539,0.800371947428538,0.665602650227012,55251.8730436395,1.03328748616854,0.917711270098806,0.731610067849967,0.685143505637722
"40140","Riverside-San Bernardino-Ontario, CA",4599839,13,"secondary-3mi",0.65377358490566,0.60139415454986,0.533921412810766,0.596407582938389,0.647741933264297,0.601424075739144,0.60460169266107,0.560862724607391,0.679983750542816,0.599780433470957,0.559042129962099,0.739685965337268,0.814555930235155,0.458314022349246,0.60460169266107,0.672615415065398,0.634101377577797,0.58817150592041,27002.8719846858,0.969451135859202,1.04609044222697,0.619731679255003,0.618348063928488
"19820","Detroit-Warren-Dearborn, MI",4392041,14,"secondary-3mi",0.704588650556611,0.667139510237507,0.616554460836152,0.787626777187814,0.738171736539358,0.732046173740262,0.67817884411431,0.641909308850477,0.758869476509254,0.68279317158036,0.657490434216382,0.730844189469522,0.81542450306597,0.54893514306404,0.67817884411431,0.765780308104488,0.725902124321002,0.634446533485086,34078.3080831007,0.974563365125332,1.0509660156921,0.661636941042289,0.65601902085084
"42660","Seattle-Tacoma-Bellevue, WA",4018762,15,"secondary-3mi",0.632620104965684,0.614348634820706,0.575491637529114,0.74153230788945,0.639346326944479,0.721835156346853,0.640882448485706,0.566719799170244,0.752366910342939,0.641345707073878,0.555944146692794,0.737100879894924,0.835904022614587,0.357305228352965,0.640882448485706,0.834966850420223,0.728187200044151,0.569434468148491,45750.4307183875,1.04839977881682,0.922898434670999,0.635314279819614,0.589235966256253
"33460","Minneapolis-St. Paul-Bloomington, MN-WI",3690261,16,"secondary-3mi",0.654908627284318,0.58925416854502,0.534747811375109,0.814390795863204,0.726717243619756,0.763005163658089,0.610719668932349,0.542839575786453,0.768793381221761,0.610734397468484,0.526325706197696,0.678898036628963,0.830397523991468,0.333785387353789,0.610719668932349,0.79813483380223,0.713205283553081,0.540241789783151,41203.9145860669,0.994912513900155,1.00729848524848,0.591383580397643,0.563903011788003
"41740","San Diego-Chula Vista-Carlsbad, CA",3298634,17,"secondary-3mi",0.77734375,0.741149848028074,0.746513004085372,0.727339125086492,0.721919219125973,0.781692021666922,0.767878565982337,0.718088864596803,0.824771222166792,0.768010472109934,0.705206483576184,0.799944821878125,0.897919543543908,0.658686198214694,0.767878565982337,0.856511642907824,0.822742986598408,0.734502459948935,38073.1926890632,1.01832791892626,0.947522937836502,0.75167369875536,0.750715911830952
"45300","Tampa-St. Petersburg-Clearwater, FL",3175275,18,"secondary-3mi",0.671820448877805,0.598343565669064,0.566976365520812,0.701894797336128,0.634243927539483,0.612387908452993,0.617717287291256,0.56843420745151,0.708833177187162,0.62561831334261,0.579555788604417,0.715999044557961,0.81281268864687,0.422421668189183,0.617717287291256,0.739712049377185,0.658385266914296,0.570032588741467,32275.5595396692,1.00079251786153,0.998810529468349,0.618944008179897,0.610624312509821
"19740","Denver-Aurora-Lakewood, CO",2963821,19,"secondary-3mi",0.697037451089994,0.642764030973014,0.595076112924138,0.799855847653731,0.732981740892571,0.660883162683923,0.671671195530003,0.593442793658656,0.810136292990077,0.671725483181288,0.570029106077083,0.771019623710297,0.865004067172973,0.673144698419092,0.671671195530003,0.852762221397331,0.775837383172075,0.605967651979922,41987.9331246244,0.972342675820551,1.04975785376894,0.654089704027335,0.635263841413571
"12580","Baltimore-Columbia-Towson, MD",2844510,20,"secondary-3mi",0.675605982465188,0.624864440044867,0.526721645677517,0.798248722097371,0.68516087073895,0.664512033990518,0.63619037459437,0.579583890984305,0.748763144260932,0.646744723654474,0.490985457328741,0.785447727518862,0.77501100110011,0.376532399299475,0.63619037459437,0.835439128977042,0.704158174147983,0.560190912141351,41464.6940912844,0.955291576434927,1.0744380646398,0.617201521734886,0.58992130767525
"41180","St. Louis, MO-IL",2820253,21,"secondary-3mi",0.539235412474849,0.474148631643489,0.444474100033459,0.533010983997892,0.556332020613979,0.743704471666712,0.500989410205034,0.454343804906199,0.604272553549528,0.50364892656401,0.449028435965046,0.669873845974841,0.731747348515258,0.156020149942057,0.500989410205034,0.632095188334204,0.565473973244218,0.448090955167212,35752.6370406283,1.09769349388364,0.91188155919653,0.48194587265678,0.473452138279603
"36740","Orlando-Kissimmee-Sanford, FL",2673376,22,"secondary-3mi",0.584633853541417,0.455214291123449,0.461441903478593,0.460983652491562,0.436180779253154,0.499059310921495,0.48039311161038,0.404904201585824,0.597987961763654,0.479076663538649,0.39942500378287,0.604669167357264,0.702378630193572,0.276790119764956,0.48039311161038,0.608717801058717,0.52161427554792,0.443156419364541,29874.7047991805,1.0614102547267,0.948686602630059,0.474877245732723,0.470050855274365
"16740","Charlotte-Concord-Gastonia, NC-SC",2660329,23,"secondary-3mi",0.416184971098266,0.383704960794481,0.337994203511414,0.46448553833561,0.428505031256536,0.491193862873582,0.404416009135123,0.335969428119801,0.535326610277777,0.4041860518701,0.343172953736655,0.60647185490495,0.701438736658136,0.106365855267498,0.404416009135123,0.529408043189439,0.494337956127399,0.349244056528391,34558.354468172,1.10201905973332,0.936280445330701,0.39860377752985,0.387693097949115
