CBSA FIPS,CBSA Name,CBSA Population,CBSA Rank,Value Within One-Mile Buffer,Square Feet Within One-Mile Buffer,Price Per Square Foot Within One-Mile Buffer,Value Outside One-Mile Buffer,Square Feet Outside One-Mile Buffer,Price Per Square Foot Outside One-Mile Buffer,Value Within Half-Mile Buffer,Square Feet Within Half-Mile Buffer,Price Per Square Foot Inside Half-Mile Buffer,Value Outside Half-Mile Buffer,Square Feet Outside Half-Mile Buffer,Price Per Square Foot Outside Half-Mile Buffer,One-Mile Buffer Premium,Half-Mile Buffer Premium
39580,"Raleigh-Cary, NC","1,413,982",42,"$162,004,277,086","644,005,881",$252 ,"$77,707,720,497","824,677,656",$94 ,"$140,628,949,045","510,191,923",$276 ,"$99,083,048,538","958,491,614",$103 ,167.0%,166.6%
19660,"Deltona-Daytona Beach-Ormond Beach, FL","668,921",90,"$26,631,343,840","350,938,794",$76 ,"$18,445,469,573","488,752,176",$38 ,"$21,819,420,879","290,597,729",$75 ,"$23,257,392,534","549,093,241",$42 ,101.1%,77.3%
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (With Arlington)","6,385,162",6,"$575,512,352,027","3,383,195,782",$170 ,"$303,416,902,881","2,905,415,070",$104 ,"$458,715,807,284","2,600,303,931",$176 ,"$420,213,447,624","3,688,306,921",$114 ,62.9%,54.8%
14460,"Boston-Cambridge-Newton, MA-NH","4,941,632",10,"$508,855,180,239","4,883,398,881",$104 ,"$263,421,519,304","3,736,096,166",$71 ,"$401,216,090,562","3,682,787,465",$109 ,"$371,060,608,981","4,936,707,582",$75 ,47.8%,44.9%
41860,"San Francisco-Oakland-Berkeley, CA","4,749,008",12,"$618,746,190,016","1,971,024,299",$314 ,"$234,824,498,360","1,100,708,613",$213 ,"$473,873,568,534","1,459,319,402",$325 ,"$379,697,119,842","1,612,413,510",$235 ,47.1%,37.9%
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","6,138,333",8,"$448,201,583,125","6,440,435,503",$70 ,"$104,448,175,290","1,973,576,322",$53 ,"$362,605,110,291","5,058,645,462",$72 ,"$190,044,648,124","3,355,366,363",$57 ,31.5%,26.6%
27260,"Jacksonville, FL","1,605,848",39,"$63,417,404,246","2,243,635,637",$28 ,"$38,664,667,389","1,750,900,347",$22 ,"$51,150,643,869","1,800,952,565",$28 ,"$50,931,427,766","2,193,583,419",$23 ,28.0%,22.3%
19100,"Dallas-Fort Worth-Arlington, TX","7,637,387",4,"$412,763,955,413","3,571,503,300",$116 ,"$196,726,318,041","2,144,176,139",$92 ,"$326,696,961,391","2,732,338,485",$120 ,"$282,793,312,063","2,983,340,954",$95 ,26.0%,26.1%
15980,"Cape Coral-Fort Myers, FL","760,822",78,"$57,751,008,526","1,160,191,374",$50 ,"$29,412,358,140","731,853,333",$40 ,"$47,220,447,900","908,022,876",$52 ,"$39,942,918,766","984,021,831",$41 ,23.9%,28.1%
44140,"Springfield, MA","699,162",84,"$31,989,252,811","718,369,488",$45 ,"$17,536,870,508","476,157,025",$37 ,"$24,395,891,780","530,220,578",$46 ,"$25,130,231,539","664,305,935",$38 ,20.9%,21.6%
41740,"San Diego-Chula Vista-Carlsbad, CA","3,298,634",17,"$305,124,668,314","1,195,164,276",$255 ,"$89,019,366,696","419,890,652",$212 ,"$233,387,168,594","892,922,156",$261 ,"$160,756,866,416","722,132,772",$223 ,20.4%,17.4%
37340,"Palm Bay-Melbourne-Titusville, FL","606,612",96,"$22,688,223,080","567,258,281",$40 ,"$16,889,268,430","488,317,667",$35 ,"$18,818,587,440","459,351,340",$41 ,"$20,758,904,070","596,224,608",$35 ,15.6%,17.7%
26420,"Houston-The Woodlands-Sugar Land, TX","7,122,240",5,"$356,221,431,019","11,315,910,973",$31 ,"$168,212,429,655","6,178,379,787",$27 ,"$293,017,647,965","8,613,064,967",$34 ,"$231,416,212,709","8,881,225,793",$26 ,15.6%,30.6%
19780,"Des Moines-West Des Moines, IA","709,466",82,"$33,652,186,020","751,927,120",$45 ,"$13,238,389,790","339,930,448",$39 ,"$26,709,280,560","593,772,431",$45 ,"$20,181,295,250","498,085,137",$41 ,14.9%,11.0%
46520,"Urban Honolulu, HI","1,016,508",54,"$147,626,720,800","542,462,761",$272 ,"$56,314,020,300","237,576,929",$237 ,"$118,611,787,100","426,373,620",$278 ,"$85,328,954,000","353,666,070",$241 ,14.8%,15.3%
30460,"Lexington-Fayette, KY","516,811",109,"$26,410,880,866","314,302,870",$84 ,"$6,966,475,861","94,334,241",$74 ,"$22,463,822,495","266,778,274",$84 ,"$10,913,534,232","141,858,837",$77 ,13.8%,9.5%
38060,"Phoenix-Mesa-Chandler, AZ","4,845,832",11,"$28,475,718,581","2,311,774,193",$12 ,"$11,607,104,140","1,072,180,517",$11 ,"$22,730,601,236","1,838,574,959",$12 ,"$17,352,221,485","1,545,379,751",$11 ,13.8%,10.1%
33340,"Milwaukee-Waukesha, WI","1,574,731",40,"$25,679,312,181","476,347,538",$54 ,"$6,982,212,786","146,158,466",$48 ,"$20,037,562,110","366,085,701",$55 ,"$12,623,962,857","256,420,303",$49 ,12.8%,11.2%
41940,"San Jose-Sunnyvale-Santa Clara, CA","2,000,468",35,"$304,085,397,371","761,516,867",$399 ,"$65,305,107,766","183,350,050",$356 ,"$244,680,387,567","596,184,025",$410 ,"$124,710,117,570","348,682,892",$358 ,12.1%,14.7%
40140,"Riverside-San Bernardino-Ontario, CA","4,599,839",13,"$243,794,703,680","1,488,488,007",$164 ,"$110,799,300,428","735,735,301",$151 ,"$187,409,545,566","1,129,735,043",$166 ,"$167,184,458,542","1,094,488,265",$153 ,8.8%,8.6%
38860,"Portland-South Portland, ME","551,740",104,"$21,185,562,135","393,007,200",$54 ,"$37,096,865,694","728,956,503",$51 ,"$18,112,871,081","341,130,097",$53 ,"$40,169,556,748","780,833,606",$51 ,5.9%,3.2%
17820,"Colorado Springs, CO","755,105",79,"$4,058,799,800","804,087,546",$5 ,"$1,220,323,050","255,388,764",$5 ,"$3,364,620,140","657,779,257",$5 ,"$1,914,502,710","401,697,053",$5 ,5.6%,7.3%
10420,"Akron, OH","702,219",83,"$8,155,215,469","683,869,076",$12 ,"$4,005,976,222","354,690,067",$11 ,"$6,869,092,526","567,475,846",$12 ,"$5,292,099,165","471,083,297",$11 ,5.6%,7.8%
24660,"Greensboro-High Point, NC","776,566",76,"$24,471,133,540","419,800,135",$58 ,"$16,294,190,749","294,194,914",$55 ,"$20,788,768,558","353,841,619",$59 ,"$19,976,555,731","360,153,430",$55 ,5.2%,5.9%
31080,"Los Angeles-Long Beach-Anaheim, CA","13,200,998",2,"$1,446,362,472,717","5,182,319,121",$279 ,"$229,723,278,360","853,803,729",$269 ,"$1,159,605,090,784","4,106,327,044",$282 ,"$516,480,660,293","1,929,795,806",$268 ,3.7%,5.5%
